1st_Road_Number,Police_Force,Year,heure_num,Day_of_Week,2nd_Road_Number,1st_Road_Class,Number_of_Vehicles,Number_of_Casualties,Speed_limit,Accident_Severity
6008,31,2006,0.0,7,0,3,1,1,30,1
5010,21,2013,23.0,3,44,3,1,1,30,3
1055,1,2006,13.0,2,0,3,2,1,40,1
258,46,2007,18.0,3,0,3,2,3,50,1
0,13,2010,5.0,6,0,6,2,1,30,3
232,1,2011,8.0,4,0,3,1,1,30,3
0,44,2014,17.0,6,0,6,1,1,20,2
396,50,2013,6.0,6,0,3,1,1,60,1
5,50,2011,17.0,1,290,5,3,1,60,1
698,95,2006,14.0,2,0,3,2,2,60,1
601,37,2014,20.0,7,0,5,1,1,60,2
0,91,2012,2.0,7,0,6,1,1,60,2
726,97,2006,10.0,1,77,3,1,3,30,3
385,45,2009,14.0,5,0,4,2,1,30,1
34,21,2006,14.0,5,312,3,2,3,60,1
580,5,2007,8.0,5,0,3,2,1,60,2
59,5,2007,6.0,1,0,3,1,1,30,1
14,34,2013,21.0,6,0,3,1,3,70,1
223,1,2005,17.0,3,0,3,1,1,30,3
35,55,2011,9.0,5,0,3,2,1,30,2
621,13,2006,1.0,2,0,1,1,4,70,1
3200,1,2014,16.0,4,0,3,2,1,30,3
594,33,2006,11.0,7,594,3,1,3,30,1
141,35,2011,11.0,6,0,3,2,1,70,2
0,20,2013,22.0,4,0,6,1,2,60,1
5218,6,2006,7.0,5,0,4,1,1,30,1
627,6,2013,16.0,4,0,3,2,1,40,3
0,1,2006,21.0,7,10,6,2,2,50,3
0,1,2005,19.0,3,11,6,2,1,30,3
309,45,2006,7.0,7,0,3,2,1,50,1
28,46,2013,19.0,5,0,3,2,2,70,1
259,47,2009,22.0,2,0,3,2,1,30,2
38,53,2010,18.0,2,0,3,2,4,60,2
41,1,2014,23.0,6,0,3,1,1,40,3
136,40,2009,14.0,3,0,5,2,1,30,3
46,16,2007,18.0,1,0,3,3,4,70,1
120,43,2006,13.0,7,0,6,1,2,20,1
6008,31,2009,11.0,2,0,3,1,1,30,1
28,46,2005,15.0,7,0,3,2,2,50,1
47,36,2012,10.0,7,0,3,2,3,60,3
1302,10,2013,15.0,7,1302,6,1,1,30,2
217,1,2010,13.0,3,0,3,2,1,30,3
905,96,2005,12.0,1,0,3,2,1,60,1
408,1,2010,18.0,6,0,4,2,1,30,3
0,1,2009,16.0,3,207,5,1,1,30,1
50,21,2014,16.0,1,0,3,1,1,50,3
199,95,2007,17.0,6,0,3,1,1,30,2
6172,6,2007,0.0,5,0,3,3,2,30,3
369,45,2010,12.0,5,0,4,1,1,30,3
40,1,2007,12.0,5,4127,3,1,1,50,1
38,21,2012,14.0,7,0,3,1,1,70,3
31,44,2007,17.0,4,0,3,2,2,70,1
0,4,2006,20.0,2,0,6,2,1,30,1
96,91,2014,20.0,3,0,3,2,1,60,1
405,41,2009,15.0,6,0,3,1,1,50,1
1159,3,2005,6.0,7,0,6,1,2,60,1
5082,6,2012,17.0,2,0,3,2,1,30,3
0,60,2007,16.0,5,0,6,3,2,30,1
6238,4,2009,17.0,2,0,4,3,1,30,3
6033,13,2014,8.0,2,0,3,2,2,50,2
0,1,2014,9.0,5,3214,5,2,1,30,3
551,10,2010,10.0,7,235,5,1,1,30,2
0,95,2012,17.0,5,0,6,2,1,30,3
167,10,2006,13.0,6,126,3,1,1,30,2
93,93,2009,15.0,7,0,3,1,1,60,2
111,1,2011,0.0,6,0,3,2,1,60,1
313,10,2009,0.0,1,0,5,2,3,30,1
505,40,2010,13.0,6,505,3,2,1,30,2
3212,1,2014,12.0,7,0,3,1,1,30,2
22,47,2009,22.0,4,0,3,1,2,50,3
259,47,2009,11.0,6,0,3,1,1,40,3
619,30,2011,23.0,7,0,3,2,6,60,2
23,47,2009,13.0,6,0,3,2,3,60,1
1,10,2012,0.0,3,0,3,2,2,60,1
579,6,2014,9.0,6,0,3,2,1,30,2
680,6,2009,16.0,5,0,3,2,1,30,2
591,3,2010,10.0,3,0,3,1,2,40,2
46,53,2010,11.0,3,284,3,3,1,60,1
27,47,2014,16.0,1,0,3,1,1,70,2
414,41,2014,16.0,4,414,3,1,1,60,2
1068,10,2011,8.0,3,0,3,1,1,60,2
62,6,2005,11.0,4,0,3,2,1,30,3
0,62,2005,17.0,5,0,6,2,1,30,3
0,1,2005,9.0,3,0,6,1,1,30,3
579,6,2010,13.0,3,6202,3,2,2,30,3
40,43,2012,12.0,7,0,3,3,2,30,3
48,53,2007,16.0,7,4231,3,2,1,40,1
413,43,2014,22.0,1,0,3,1,1,70,1
6002,30,2009,19.0,1,0,4,2,2,40,1
9,91,2006,0.0,1,0,3,1,1,60,1
4240,62,2005,9.0,6,0,3,1,1,30,2
410,1,2011,16.0,3,0,3,1,1,30,2
436,53,2011,23.0,2,0,3,2,3,50,3
381,50,2012,10.0,2,0,3,2,1,40,3
592,3,2012,15.0,1,0,3,2,1,30,3
6055,12,2012,6.0,5,0,3,1,1,60,2
0,1,2010,9.0,2,0,5,3,1,30,3
315,1,2011,17.0,7,0,3,1,2,30,3
338,43,2006,0.0,1,0,3,1,1,60,1
0,13,2007,17.0,7,0,6,2,3,60,2
5004,30,2005,10.0,6,0,3,1,1,60,1
60,6,2012,17.0,2,0,1,2,1,70,2
0,30,2007,15.0,7,0,6,2,1,30,3
685,3,2010,15.0,6,0,3,2,3,60,2
612,31,2010,20.0,3,0,3,2,1,30,2
30,43,2005,0.0,1,324,6,2,2,60,2
198,95,2007,16.0,6,1345,3,3,2,60,2
641,13,2009,12.0,1,0,3,2,2,30,1
0,1,2012,18.0,6,0,6,1,1,30,1
78,97,2006,9.0,4,0,3,2,1,30,3
0,1,2010,8.0,6,0,6,2,1,30,3
57,14,2010,11.0,1,6102,3,2,1,30,3
4042,61,2013,17.0,3,0,3,3,1,40,3
5200,1,2012,12.0,6,0,3,2,1,30,2
5,1,2013,19.0,2,407,3,2,1,30,3
1296,10,2014,14.0,7,0,4,1,1,60,2
1201,1,2010,17.0,6,0,3,2,1,30,3
272,47,2012,11.0,6,0,3,2,1,40,1
3181,50,2007,15.0,4,0,4,3,4,50,1
0,93,2009,15.0,4,0,6,2,3,30,2
3109,54,2011,10.0,4,0,4,2,1,30,2
5009,21,2006,12.0,4,619,3,2,1,30,1
0,1,2012,12.0,5,0,6,1,1,30,1
580,5,2006,19.0,6,0,3,1,2,60,1
1078,10,2012,11.0,7,0,6,1,1,20,2
380,32,2014,17.0,1,0,6,1,1,30,2
6017,6,2006,20.0,5,0,3,2,2,40,2
1081,41,2013,10.0,3,63,3,2,2,60,1
205,1,2010,14.0,1,0,3,2,3,30,2
35,55,2014,8.0,2,0,3,2,4,60,1
0,22,2013,18.0,4,0,6,1,1,30,3
5366,33,2012,12.0,6,0,4,2,1,30,3
0,52,2013,13.0,3,-1,6,1,1,30,2
7502,33,2011,19.0,1,0,5,1,1,60,1
59,4,2005,6.0,3,0,3,2,1,50,3
0,1,2012,10.0,1,0,6,2,1,30,2
39,50,2007,7.0,4,0,3,4,1,60,1
6456,95,2005,16.0,3,0,4,1,1,60,1
1121,32,2009,20.0,6,0,3,3,1,60,1
0,1,2009,18.0,2,0,5,2,1,30,2
428,34,2007,15.0,3,0,3,1,1,60,2
0,1,2007,19.0,1,0,5,2,2,30,3
1074,36,2014,11.0,6,0,3,2,1,30,2
102,43,2012,6.0,1,0,5,1,1,30,1
6,6,2006,2.0,1,5063,3,1,1,40,2
0,4,2005,0.0,3,0,6,1,2,30,1
12,42,2010,8.0,5,0,3,2,1,70,2
