1st_Road_Number,Police_Force,Year,heure_num,Day_of_Week,2nd_Road_Number,1st_Road_Class,Number_of_Vehicles,Number_of_Casualties,Speed_limit,Accident_Severity
0,50,2013,15.0,4,0,6,1,1,20,1
780,97,2007,20.0,4,0,4,1,2,40,1
0,4,2006,19.0,6,0,6,2,2,30,1
61,13,2010,9.0,2,0,3,1,1,30,0
379,50,2007,10.0,1,0,3,1,1,50,1
0,50,2010,19.0,7,0,6,2,1,30,1
4040,20,2005,20.0,3,0,3,2,1,30,1
0,11,2006,1.0,6,0,6,2,1,30,1
3,44,2012,16.0,2,3,3,2,3,70,0
63,41,2013,19.0,4,1411,5,3,2,60,0
285,43,2013,13.0,6,0,6,1,1,60,0
30,44,2010,22.0,5,0,3,2,2,40,0
4491,1,2007,7.0,4,0,4,1,1,30,0
0,60,2011,19.0,5,0,6,1,1,30,1
272,47,2009,15.0,3,0,3,2,1,60,0
90,93,2010,6.0,5,360,3,2,1,70,0
3,44,2011,13.0,1,0,3,2,1,30,0
0,50,2009,17.0,6,0,6,2,1,30,0
0,5,2009,16.0,5,0,6,1,1,30,0
7706,33,2007,17.0,2,7621,5,2,1,30,1
804,97,2012,1.0,7,89,4,3,1,30,1
0,1,2010,13.0,2,0,6,1,1,30,1
12,36,2007,17.0,3,0,3,1,2,40,0
0,20,2006,20.0,4,0,6,1,1,30,0
38,52,2009,22.0,3,0,3,1,1,30,0
0,46,2009,17.0,6,0,6,1,1,30,1
5141,5,2012,17.0,4,0,4,2,1,30,1
237,1,2010,22.0,6,232,3,2,1,30,0
11,21,2006,6.0,5,11,6,2,1,30,1
27,44,2012,8.0,5,0,3,2,2,40,1
606,13,2009,5.0,4,58,1,7,9,70,0
1104,32,2014,16.0,6,0,3,3,8,60,0
0,44,2006,7.0,6,0,6,2,1,60,1
0,30,2012,10.0,1,0,6,2,2,30,0
5460,33,2012,22.0,7,0,3,2,2,30,0
48,62,2011,5.0,6,0,3,2,2,30,0
308,1,2013,6.0,4,0,3,1,1,30,0
0,47,2009,12.0,7,0,6,2,1,30,1
28,46,2014,14.0,1,0,3,2,4,50,0
1025,42,2007,10.0,1,0,4,2,1,30,1
16,52,2006,18.0,4,0,5,1,1,30,0
0,5,2012,18.0,2,0,6,2,1,30,1
0,20,2010,9.0,3,0,6,2,1,30,0
59,12,2009,16.0,3,0,3,2,1,60,1
299,46,2006,17.0,6,0,3,4,1,30,1
41,1,2006,0.0,1,407,3,1,1,50,0
171,12,2005,22.0,6,1266,3,2,5,60,0
404,1,2005,0.0,4,0,3,2,2,30,1
0,13,2011,18.0,3,0,6,8,1,30,0
23,47,2005,17.0,5,0,1,2,1,70,1
0,5,2014,15.0,3,0,6,1,1,30,0
74,31,2006,7.0,4,0,5,1,1,30,1
326,10,2011,10.0,3,326,6,2,1,30,1
0,3,2006,19.0,6,0,6,1,1,30,1
0,1,2012,11.0,6,0,5,2,1,30,1
617,31,2006,11.0,3,0,3,2,1,60,1
23,47,2007,1.0,5,0,3,1,1,30,0
428,34,2012,12.0,4,0,3,1,1,40,0
0,1,2007,18.0,3,0,5,1,1,30,0
10,1,2006,11.0,7,0,3,2,1,30,1
35,55,2006,14.0,1,0,3,2,1,60,0
259,47,2013,0.0,7,0,3,1,1,30,0
4098,23,2010,18.0,3,0,4,2,1,60,1
39,31,2006,13.0,1,0,5,2,4,40,0
6094,14,2009,9.0,3,0,4,1,1,60,0
4011,43,2009,13.0,1,0,4,2,1,60,0
0,4,2014,17.0,2,0,6,2,1,30,1
0,5,2006,17.0,7,0,6,1,1,30,1
27,43,2013,7.0,5,0,6,1,1,60,1
0,22,2006,14.0,2,0,6,2,2,60,1
0,52,2013,9.0,2,0,6,1,1,30,0
947,92,2005,19.0,2,-1,3,2,1,30,1
570,4,2005,13.0,7,0,3,2,1,30,1
303,44,2013,18.0,7,0,3,4,1,70,1
26,47,2011,14.0,7,0,3,2,1,60,0
650,13,2007,12.0,7,0,3,2,2,30,0
113,32,2007,1.0,4,110,5,2,1,60,1
396,52,2010,14.0,2,0,3,2,3,60,1
80,55,2012,16.0,5,0,5,2,1,60,0
12,42,2006,6.0,6,0,3,1,1,70,1
478,63,2011,10.0,3,0,3,2,1,30,0
3079,44,2006,12.0,2,0,4,2,3,40,0
4148,20,2014,11.0,5,0,3,2,1,30,1
3036,1,2009,17.0,7,0,3,2,1,30,1
748,12,2013,19.0,5,738,6,1,2,30,0
0,1,2014,7.0,5,0,6,1,1,30,0
6231,4,2009,13.0,5,0,4,1,2,40,0
6,40,2010,14.0,3,0,3,2,1,30,0
214,1,2010,19.0,4,0,3,2,1,30,1
90,93,2012,18.0,3,0,3,1,1,70,0
134,37,2010,0.0,7,0,3,1,1,60,0
3212,1,2009,11.0,1,4,3,3,1,30,0
131,42,2013,6.0,3,0,3,1,1,60,0
57,32,2013,12.0,5,1273,3,1,1,30,0
4057,52,2013,17.0,3,0,4,2,1,40,1
183,10,2011,23.0,6,0,3,1,1,30,0
1298,10,2005,13.0,7,436,4,2,1,30,1
108,43,2012,9.0,4,2087,5,2,1,30,0
4200,1,2011,13.0,7,0,3,1,1,30,0
1112,36,2014,18.0,4,871,4,3,1,40,1
0,42,2005,9.0,6,0,6,2,1,60,0
0,11,2011,12.0,5,0,6,2,3,30,1
690,11,2011,19.0,2,0,3,1,4,70,0
320,45,2011,9.0,4,0,3,2,1,30,1
0,31,2005,9.0,5,0,6,2,1,30,1
0,22,2009,18.0,2,0,6,2,1,60,0
4,43,2010,15.0,7,25,1,1,1,70,1
0,40,2010,15.0,2,0,6,2,2,30,1
50,7,2013,14.0,7,0,3,2,1,30,1
4130,43,2007,7.0,6,329,3,2,1,60,1
1202,33,2014,13.0,5,1285,6,2,1,30,0
639,41,2013,8.0,2,629,6,2,3,30,1
1307,10,2013,16.0,7,1311,4,1,1,30,1
41,7,2006,18.0,1,215,3,1,1,40,0
60,31,2011,16.0,5,6004,3,1,1,30,1
742,14,2014,15.0,6,0,5,1,2,30,0
503,1,2006,3.0,7,0,3,1,1,30,0
296,35,2013,17.0,6,0,5,2,1,20,1
0,1,2011,13.0,5,0,6,1,1,30,0
45,34,2011,14.0,6,43,3,3,2,70,1
1122,36,2007,16.0,6,0,3,2,2,60,0
193,21,2006,22.0,6,0,6,1,1,60,1
34,6,2009,15.0,6,0,3,3,1,30,1
0,44,2010,8.0,5,0,6,2,1,30,1
0,6,2011,12.0,1,0,6,2,1,30,1
5254,4,2012,13.0,5,582,4,2,1,30,1
256,46,2014,8.0,6,0,3,1,1,40,0
0,47,2005,15.0,2,0,6,2,1,30,0
432,52,2006,10.0,4,0,3,2,1,30,1
4,1,2007,23.0,6,4,3,1,1,30,0
2217,1,2005,8.0,6,0,3,1,1,30,0
19,11,2014,0.0,6,0,3,1,1,70,0
6,40,2006,15.0,7,0,3,1,1,70,1
414,41,2005,12.0,1,5183,3,2,1,70,1
41,20,2010,8.0,4,0,3,2,1,30,1
3,44,2007,7.0,3,0,1,2,1,70,1
6255,12,2005,15.0,1,0,4,1,1,60,0
4141,54,2009,5.0,1,0,4,1,1,60,1
178,34,2010,12.0,3,0,5,1,1,30,0
4074,43,2010,16.0,6,0,3,2,2,50,0
34,7,2014,16.0,7,0,3,2,1,60,0
6099,6,2010,20.0,3,0,3,2,4,30,0
48,61,2006,19.0,5,4293,3,2,2,30,0
0,97,2010,8.0,2,0,6,2,1,30,1
85,97,2005,23.0,1,0,3,3,2,60,1
0,1,2007,15.0,5,0,5,1,1,30,0
660,13,2011,16.0,2,58,3,1,1,30,0
5,33,2013,14.0,7,0,3,2,1,50,0
0,44,2007,7.0,2,0,6,2,1,30,0
6005,30,2006,10.0,6,6540,3,2,1,30,0
665,6,2009,14.0,2,0,3,2,2,30,1
398,12,2012,21.0,5,0,6,1,1,60,0
312,1,2012,18.0,6,312,3,2,2,30,1
621,14,2006,19.0,4,0,3,3,3,30,1
31,44,2009,14.0,1,0,3,1,1,60,0
817,91,2009,3.0,1,0,4,1,2,30,1
4410,33,2014,18.0,1,0,6,3,1,30,1
688,11,2005,11.0,7,0,3,2,1,40,1
386,50,2010,22.0,2,0,3,1,3,30,0
259,47,2013,16.0,1,0,3,4,1,30,0
401,1,2011,12.0,5,4201,3,2,1,30,1
4020,1,2010,0.0,3,406,3,1,1,30,0
2230,1,2010,2.0,1,0,4,1,1,30,0
500,21,2006,23.0,2,52,3,2,2,30,1
0,50,2012,17.0,5,0,6,1,2,60,0
0,20,2005,17.0,5,4031,6,1,1,30,0
0,20,2005,19.0,2,0,6,2,2,30,1
420,43,2014,7.0,2,0,3,1,1,70,0
38,11,2006,17.0,3,144,5,3,1,30,1
0,13,2006,13.0,7,0,6,2,1,30,1
2,46,2006,14.0,5,2260,3,1,1,70,1
92,21,2005,12.0,7,0,6,1,1,30,1
6,21,2012,8.0,4,6,1,3,1,70,1
540,7,2006,21.0,2,5151,3,2,1,60,1
2563,34,2007,16.0,2,2567,6,2,2,30,1
334,44,2009,12.0,7,3035,3,3,2,50,1
591,3,2010,10.0,3,0,3,1,2,40,0
141,35,2011,9.0,5,0,3,2,2,50,0
680,4,2014,16.0,5,0,3,2,1,60,0
60,31,2009,13.0,3,0,3,2,1,30,1
5183,41,2005,10.0,6,-1,3,2,1,60,0
202,1,2012,17.0,3,0,3,2,1,30,1
1068,10,2006,9.0,1,404,3,1,1,40,0
689,11,2011,18.0,4,6296,3,1,1,30,0
5190,21,2013,12.0,3,0,3,4,1,60,1
40,43,2007,11.0,7,880,3,2,1,40,0
565,5,2005,15.0,5,0,3,1,1,30,0
0,6,2007,12.0,7,0,5,2,1,30,0
0,1,2012,20.0,3,0,6,2,1,30,1
404,43,2007,20.0,2,0,3,2,1,70,1
0,1,2006,7.0,4,0,5,2,1,30,1
510,1,2007,11.0,2,5,4,2,1,30,0
8,95,2010,4.0,2,0,3,1,1,30,1
6010,6,2012,17.0,6,0,3,2,1,30,0
1320,11,2006,9.0,5,0,4,2,2,40,1
0,1,2014,19.0,3,0,5,1,1,30,0
404,1,2012,20.0,5,0,3,2,1,30,0
0,44,2005,15.0,7,0,6,2,1,30,0
0,52,2014,9.0,3,0,6,2,3,30,1
149,36,2005,12.0,2,0,3,2,1,60,0
1156,37,2014,11.0,5,1071,3,2,2,30,1
0,13,2011,18.0,1,0,6,2,2,30,0
31,45,2014,15.0,2,0,3,1,2,50,0
643,13,2011,16.0,3,0,3,2,1,30,1
467,1,2010,8.0,5,0,4,2,1,30,1
7066,95,2006,21.0,3,0,4,2,7,60,0
814,97,2011,12.0,4,0,3,1,1,30,1
40,1,2014,16.0,4,0,3,2,1,30,1
608,31,2012,20.0,4,1,3,1,1,60,0
23,1,2012,18.0,7,22,3,2,1,30,0
4063,62,2009,4.0,7,0,3,4,1,30,1
584,4,2012,19.0,7,0,3,1,1,30,0
166,16,2013,20.0,5,0,3,2,1,30,0
91,96,2010,17.0,1,0,3,2,1,60,1
193,10,2009,20.0,4,0,3,1,1,60,1
553,5,2009,13.0,6,0,3,2,1,30,0
56,36,2009,18.0,3,0,5,2,1,50,1
525,60,2006,13.0,5,495,3,3,2,60,0
416,43,2009,13.0,2,4059,3,1,1,30,0
41,43,2014,7.0,3,0,3,3,1,60,1
6102,14,2010,12.0,3,6200,3,2,1,30,1
257,10,2014,7.0,4,0,5,2,1,60,1
0,62,2006,16.0,5,0,6,2,2,30,1
0,14,2007,13.0,4,0,6,2,1,30,1
3,1,2013,8.0,3,0,3,2,1,30,0
3,1,2006,11.0,7,0,3,1,1,30,0
20,1,2012,13.0,3,0,3,1,1,30,1
0,14,2005,15.0,5,0,6,1,1,30,1
182,42,2013,7.0,6,0,4,1,1,60,1
0,13,2007,16.0,3,0,6,2,1,30,0
6265,12,2005,21.0,7,0,4,3,1,20,0
2039,45,2007,10.0,3,647,4,1,1,30,0
85,93,2010,12.0,2,0,3,2,1,60,0
449,22,2011,15.0,4,0,3,2,1,70,0
2,46,2006,12.0,7,0,3,3,2,30,1
120,43,2011,22.0,7,0,6,1,1,30,0
20,1,2005,19.0,3,0,3,2,1,30,1
3,1,2007,19.0,2,0,3,2,1,30,0
0,44,2007,13.0,2,0,6,1,1,30,0
719,97,2014,17.0,3,0,3,1,2,60,1
40,43,2009,7.0,1,0,1,1,1,70,0
3151,52,2012,12.0,2,372,4,2,1,50,0
4040,20,2012,17.0,4,47,3,2,1,30,1
48,61,2009,19.0,3,0,3,1,2,50,1
57,21,2007,18.0,5,57,6,2,1,30,0
82,97,2005,16.0,2,0,3,2,1,30,1
659,13,2006,16.0,6,0,3,2,4,60,0
2030,44,2011,11.0,6,0,3,2,1,50,1
9,96,2013,14.0,4,0,3,2,1,70,1
214,1,2005,17.0,5,0,3,2,1,30,1
50,33,2006,17.0,3,0,3,2,4,70,1
167,41,2014,19.0,5,-1,5,2,1,30,1
6441,30,2012,7.0,6,610,4,2,1,60,1
548,7,2014,3.0,1,0,3,1,2,30,1
206,10,2009,13.0,3,437,5,2,2,30,1
0,44,2012,23.0,7,0,6,1,1,30,0
90,95,2009,14.0,2,9,3,2,1,50,0
0,20,2011,20.0,5,0,6,2,1,30,1
54,7,2005,18.0,4,0,3,3,2,30,0
6107,13,2014,17.0,5,0,3,2,1,30,0
0,95,2010,14.0,7,0,6,1,1,30,0
768,50,2014,7.0,2,707,5,2,1,30,0
5378,41,2013,10.0,6,0,4,1,1,30,1
6,6,2010,1.0,7,0,3,1,1,30,0
337,44,2006,10.0,2,0,3,2,2,30,1
313,10,2009,0.0,1,0,5,2,3,30,0
0,14,2010,18.0,4,0,6,2,1,30,1
75,41,2010,19.0,7,0,5,2,1,30,0
0,3,2009,18.0,4,0,6,1,1,30,0
1346,95,2006,0.0,7,0,4,1,1,30,0
5048,5,2013,16.0,3,0,3,1,1,30,0
244,1,2011,8.0,3,0,3,2,1,30,1
420,43,2014,22.0,5,0,3,2,1,20,0
5,60,2009,16.0,7,5025,3,2,1,30,0
487,63,2012,11.0,6,0,3,2,1,60,1
4251,41,2005,18.0,6,127,3,4,2,30,1
